category,title,price,rating,review_count,availability,discount
clothing,"Pendaflex File Folders, Letter Size, 1/3 Cut, Manila, 250 per Box (752250)",29.73,4.5,618,1,1.66
clothing,Curl Defining Cream,36.0,4.5,307,3,9.9
clothing,"OmieBox Bento Box for Kids - Insulated Lunch Box with Leak Proof Thermos Food Jar - 3 Compartments, Two Temperature Zones - (Meadow) (Single) (Packaging May Vary)",45.95,4.5,106,3,4.82
clothing,"Pickleball Paddles, USAPA Approved Fiberglass Surface Pickleball Set with Pickleball Rackets, Pickleball Paddles Set ​for Men Women",39.99,4.5,440,3,7.62
clothing,"Oxford Spiral Notebook 6 Pack, Bulk Wide Ruled Spiral Notebooks for School, 1 Subject Journal, Wide Ruled Paper, 8 x 10-1/2 Inch, Blue, Yellow, Red, Light Blue, Green and Black, 70 Sheets (65010)",12.81,4.5,406,5,1.42
clothing,High Waisted Body Shaper Shorts Shapewear for Women Tummy Control Thigh Slimming Technology,25.99,4.5,320,3,1.63
clothing,CASIO PRIZM FX-CG50 Color Graphing Calculator,82.54,4.5,788,1,14.79
clothing,Adjustable Dumbbell Weight Set by Affordable Dumbbells - Space Saver - Dumbbells for Your Home,379.99,4.5,796,2,54.77
clothing,Texas Instruments TI-83 Plus Graphing Calculator,75.0,4.5,42,1,11.14
clothing,"SneakERASERS Instant Sole and Sneaker Cleaner, Premium, Disposable, Dual-Sided Sponge for Cleaning & Whitening Shoe Soles (10 Pack)",11.98,4.5,648,8,2.87
clothing,"Laptop Backpack,Business Travel Anti Theft Slim Durable Laptops Backpack with USB Charging Port,Water Resistant College Computer Bag for Women & Men Fits 15.6 Inch Laptop and Notebook - Black",29.99,4.5,958,3,7.88
clothing,"Amazon Basics 3-Ring Binder, 1-Inch - White, 4-Pack",14.11,4.5,665,10,1.86
clothing,"Maxlite 5 Softside Expandable Carry on Luggage with 4 Spinner Wheels, Lightweight Suitcase, Men and Women, Black, Carry On 21-Inch",144.49,4.5,925,4,40.71
clothing,"Walking Pad 2 in 1 Under Desk Treadmill, 2.5HP Low Noise Walking Pad Running Jogging Machine with Remote Control for Home Office, Lightweight Portable Desk Treadmill Installation Free",159.99,4.5,80,1,11.96
clothing,"Leave In Conditioner Spray (8 Fl Oz) Paraben-Free Detangler for Kids' Curly Hair, Deep Conditioner & Tangle-Free Curls, Gentle & Nourishing with Keratin, Vitamin B5, Olive Oil & Jojoba Oil",9.99,4.5,45,10,2.1
clothing,Legacy Football Shield,55.0,4.5,879,4,2.78
clothing,"6 Pack, Men's Short Sleeve Crew Neck T-Shirt, S - 4XL",99.0,4.5,707,3,15.32
clothing,"Dr. Scholl's Heavy Duty Support Insole Orthotics, Big & Tall, 200lbs+, Wide Feet, Shock Absorbing, Arch Support, Distributes Pressure, Trim to Fit Inserts, Work Boots & Shoes, Men Size 8-14, 1 Pair",15.54,4.5,679,6,1.55
clothing,soulfood nourishing mask,34.0,4.5,374,2,8.54
clothing,Clear Backpack Heavy Duty - PVC Transparent Backpack Large Clear Book Bag for College Work,24.99,4.5,328,2,4.89
clothing,"Foundation 6 Backpack, Black/White, One Size",38.0,4.5,373,2,7.99
clothing,"BIC PENS Large Bulk Pack of 240 Ink Pens, Bic Round Stic Xtra Life Ballpoint , Medium point 1.0 mm, 120 Black & 120 Blue Pens in Box Combo Pack",32.29,4.5,945,4,2.08
clothing,"Cool Student Backpack - School, Travel, or Work Bookbag with 15-Inch Laptop Pack",50.72,4.5,521,4,10.53
clothing,Women's 574 Core Sneaker,89.99,4.5,527,2,19.15
clothing,Prime 7 Backpack,44.99,4.5,69,1,10.84
clothing,Kids' Everyday Cushion Crew Socks (6 Pairs),26.99,4.5,951,3,6.23
